"Rows from: systek_raw_rows","id","company_key","name","domain","clean_domain","orgnr","proff_url","profit_before_tax","turnover","industry","company_size","location","created_at","updated_at"
,,"nov.com","NOV Lifting & Handling","nov.com","nov.com","936 738 540","https://www.proff.no/selskap/national-oilwell-varco-norway-as/kristiansand-s/industrimaskiner-og-utstyr-installasjon/IFHPK3010O6","USD 69,231,000 (2024)","USD 620,290,000 (2024)","Produsenter, Maskiner og utstyr, Maskiner og utstyr - produksjon, Kraner og løfteutstyr, Industrimaskiner og -utstyr - installasjon","1474","4639 Kristiansand S","2025-12-24 09:39:58.447+00",
,,"dsa.no","Direktoratet for strålevern og atomsikkerhet","dsa.no","dsa.no","867 668 292","https://www.proff.no/selskap/direktoratet-for-str%C3%A5levern-og-atomsikkerhet/%C3%B8ster%C3%A5s/offentlig-administrasjon/IECL55010JX","No data","No data","Offentlig administrasjon","179","Østerås","2025-12-24 09:39:58.447+00",
,,"tripletex.no","Tripletex AS","https://www.tripletex.no/om-tripletex/","tripletex.no","914 286 018","https://www.proff.no/selskap/tripletex-as/-/dataprogramvare-og-utvikling/IF4CBLU009O","518 317 (Belf8p i 1000, 2024, NOK)","1 390 010 (Belf8p i 1000, 2024, NOK)","Dataprogramvare og utvikling","316","Karenslyst Allé 56, 0277 Oslo","2025-12-24 09:39:58.447+00",
,,"vibbo.no","Sameiet Jordal Terrasse","https://vibbo.no/jordal-terrasse/om","vibbo.no","","","","","","0","Jordal Terrasse 2 - 14, 0658 Oslo","2025-12-26 09:39:58.283+00",
,,"dnv.com","DNV","https://dnv.com","dnv.com","945 748 931","https://www.proff.no/selskap/dnv-as/h%C3%B8vik/faglig-vitenskapelig-og-teknisk-virksomhet/IFN2OJN10N7","Resultat før skatt 2024: 2 528 742 (Beløp i 1000)","Sum driftsinntekter 2024: 12 782 232 (Beløp i 1000)","Teknisk prøving og analyse; Faglig, vitenskapelig og teknisk virksomhet; IT-konsulenter og rådgivning; Konsulenter","2282","0001 Oslo","2025-12-24 09:39:58.447+00",
,,"tradesolution.no","Tradesolution AS","http://www.tradesolution.no","tradesolution.no","968788434","https://www.proff.no/selskap/tradesolution-as/oslo/it-konsulenter-og-r%C3%A5dgivning/IG0SHXU03DC","42 942 (2024) (Beløp i 1000 NOK)","169 553 (2024) (Beløp i 1000 NOK)","IT-konsulenter og rådgivning, Konsulenter, Reklamebyråer","80","Ole Deviks vei 6C, 0666 Oslo","2025-12-24 09:39:58.447+00",
,,"dips.com","DIPS","dips.com","dips.com","979 543 883","https://www.proff.no/selskap/dips-asa/bod%C3%B8/it-konsulenter-og-r%C3%A5dgivning/IG770WB03DC","87 634 (Beløp i 1000, 2024)","688 775 (Beløp i 1000, 2024)","IT-konsulenter og rådgivning","351","Bodø","2025-12-24 09:39:58.447+00",
,,"ruter.no","TET Digital As","http://www.ruter.no/","ruter.no","932 295 288","https://www.proff.no/selskap/tet-digital-as/oslo/offentlig-administrasjon/IFF2BNC10JX","NOK -0.525M (2024)","NOK 750.48M (2024)","Offentlig administrasjon","167","Dronningens Gate 40, 0154 Oslo","2025-12-24 09:39:58.447+00",
,,"norskgjenvinning.no","Norsk Gjenvinning AS","https://www.norskgjenvinning.no/","norskgjenvinning.no","937 270 062","https://www.proff.no/selskap/norsk-gjenvinning-as/oslo/renovasjon/IGCK3DA01DV","Resultat før skatt2024 52 801","Sum driftsinntekter2024 3 258 221","Materialgjenvinning","79","Lørenveien 73, 0585 Oslo","2025-12-24 09:39:58.447+00",
,,"protectorforsikring.no","Protector Forsikring Norge","https://protectorforsikring.no/","protectorforsikring.no","985 279 721","https://www.proff.no/selskap/protector-forsikring/oslo/forsikring/IGALYP50ARC","Resultat fr skatt 2 973 000","Sum driftsinntekter 9 731 000 (Belp i 1000, 2024)","Skadeforsikring","198","Filipstad Brygge 1, 0252 Oslo","2025-12-24 09:39:58.447+00",
