"Rows from: Konfitech Targets - Nikolai - 2nd and 3rd connections Norway relevant","id","company_key","name","domain","clean_domain","orgnr","proff_url","profit_before_tax","turnover","industry","company_size","location","created_at","updated_at"
,,"bursonglobal.com","Burson","www.bursonglobal.com","bursonglobal.com",,,,,"Public Relations and Communications Services","3713","New York, New York, United States",,
,,"sterneras.no","Sterner","www.sterneras.no","sterneras.no",,,,,"Construction","62","Ski, Viken, Norway",,
,,"unite-global.com","Unite Global As","www.unite-global.com","unite-global.com",,,,,"Financial Services","20","Norway",,
,,"bldng.com","Bldng.Ai As","bldng.com","bldng.com",,,,,"IT Services and IT Consulting","13","Norway",,
,,"lithium367.com","Lithium367","www.lithium367.com","lithium367.com",,,,,"Chemical Raw Materials Manufacturing","3","Oslo, Oslo, Norway",,
,,"intellectuallabs.no","Intellectual Labs As","www.intellectuallabs.no","intellectuallabs.no",,,,,"Venture Capital and Private Equity Principals","7","Oslo, Oslo, Norway",,
,,"nimtech.no","Nimtech","www.nimtech.no","nimtech.no",,,,,"IT Services and IT Consulting","34","Oslo, Oslo, Norway",,
,,"paritee.com","Paritee","www.paritee.com","paritee.com",,,,,"Public Relations and Communications Services","7","Oslo, Oslo, Norway",,
,,"z-joule.com","Z-Joule","z-joule.com","z-joule.com",,,,,"Maritime Transportation","1","",,
,,"cbk.no","Cbk Distribusjon As","www.cbk.no","cbk.no",,,,,"IT Services and IT Consulting","54","Oslo, Oslo, Norway",,
,,"getuploaded.com","Getuploaded","getuploaded.com","getuploaded.com",,,,,"Technology, Information and Media","1","Oslo, Oslo, Norway",,
,,"Geno Global AS - Breeding for better lives","Geno Global AS - Breeding for better lives","","",,,,,"","0","",,
,,"brudeli.no","Brudeli Green Mobility","www.brudeli.no","brudeli.no",,,,,"Motor Vehicle Manufacturing","17","Norway",,
,,"grogro.no","Grogro","www.grogro.no","grogro.no",,,,,"Food & Beverages","8","Lier, Viken, Norway",,
,,"wizrd.no","Wizrd Solutions","wizrd.no","wizrd.no",,,,,"IT Services and IT Consulting","3","Bergen, Vestland, Norway",,
,,"house21.no","The Conduit Oslo","house21.no","house21.no",,,,,"Civic and Social Organizations","7","Oslo, Oslo, Norway",,
,,"hockeystickimpact.com","Hockeystick Impact As","www.hockeystickimpact.com","hockeystickimpact.com",,,,,"Business Consulting and Services","4","Oslo, Oslo, Norway",,
,,"huddly.com","Huddly","www.huddly.com","huddly.com",,,,,"Telecommunications","118","Oslo, Oslo, Norway",,
,,"vaare.pro","Vaare As","vaare.pro","vaare.pro",,,,,"IT Services and IT Consulting","25","Ski, Viken, Norway",,
,,"landbruksdirektoratet.no","Landbruksdirektoratet","www.landbruksdirektoratet.no","landbruksdirektoratet.no",,,,,"Government Administration","186","Oslo, Oslo, Norway",,
,,"glex.no","Glex As","www.glex.no","glex.no",,,,,"IT Services and IT Consulting","8","Bergen, Vestland, Norway",,
,,"evat.no","Evat","www.evat.no","evat.no",,,,,"Facilities Services","44","Oslo, Oslo, Norway",,
,,"listenalert.com","Listenalert","listenalert.com","listenalert.com",,,,,"Technology, Information and Media","1","Oslo, Oslo, Norway",,
,,"stablecare.com","Stablecare As","www.stablecare.com","stablecare.com",,,,,"Hospitals and Health Care","1","Arendal, Agder, Norway",,
,,"noddi.no","Noddi","noddi.no","noddi.no",,,,,"Consumer Services","7","Oslo, Oslo, Norway",,
,,"aswearenow.co","Awan : As We Are Now","www.aswearenow.co","aswearenow.co",,,,,"Retail Apparel and Fashion","6","Oslo, Oslo, Norway",,
,,"Philip Hauge As","Philip Hauge As","","",,,,,"Appliances, Electrical, and Electronics Manufacturing","6","Bergen, Vestland, Norway",,
,,"sloyd.ai","Sloyd","sloyd.ai","sloyd.ai",,,,,"Software Development","9","Oslo, Oslo, Norway",,
,,"fysioterapivakten.no","Fysioterapivakten Åse Birkhaug Bergen Fysioterapiklinikk","www.fysioterapivakten.no","fysioterapivakten.no",,,,,"Medical Practices","1","Bergen, Vestland, Norway",,
,,"Znl Energy As","Znl Energy As","","",,,,,"Electric Power Transmission, Control, and Distribution","10","Bergen, Vestland, Norway",,
,,"baerum.kommune.no","Bærum Kommune","baerum.kommune.no","baerum.kommune.no",,,,,"Government Administration","3444","Norway",,
,,"raal.io","Raal.Io▣ It Device Operations For Global Teams","raal.io","raal.io",,,,,"Software Development","6","Tallinn, Harjumaa, Estonia",,
,,"multiconsult.no","Multiconsult","www.multiconsult.no","multiconsult.no",,,,,"Construction","2960","Gamle Oslo, Oslo, Norway",,
,,"ynspira.no","Ynspira","www.ynspira.no","ynspira.no",,,,,"Business Consulting and Services","2","Oslo, Oslo, Norway",,
,,"CEMIT Digital","CEMIT Digital","","",,,,,"","0","",,
,,"firstscandinavia.org","First Scandinavia","firstscandinavia.org","firstscandinavia.org",,,,,"Education Administration Programs","25","Bodø, Nordland, Norway",,
,,"doga.no","Design Og Arkitektur Norge - Doga","www.doga.no","doga.no",,,,,"Government Administration","48","Oslo, Oslo, Norway",,
,,"considium.no","Considium Consulting Group As","considium.no","considium.no",,,,,"Business Consulting and Services","20","Oslo, Oslo, Norway",,
,,"ocean-power.no","Ocean-Power As","www.ocean-power.no","ocean-power.no",,,,,"Electric Power Generation","3","Levanger, Trøndelag, Norway",,
,,"freshfitness.no","Fresh Fitness As","www.freshfitness.no","freshfitness.no",,,,,"Health, Wellness & Fitness","139","Oslo, Oslo, Norway",,
,,"devspace.no","Devspace","devspace.no","devspace.no",,,,,"IT Services and IT Consulting","6","Oslo, Oslo, Norway",,
,,"boreal.no","Boreal Norge As","www.boreal.no","boreal.no",,,,,"Transportation, Logistics, Supply Chain and Storage","355","Stavanger, Rogaland, Norway",,
,,"gulf-marine.com","Gulf Marine","www.gulf-marine.com","gulf-marine.com",,,,,"Oil and Gas","333","Singapore, Singapore",,
,,"optronics.no","Optronics Technology As","www.optronics.no","optronics.no",,,,,"Appliances, Electrical, and Electronics Manufacturing","36","Oslo, Oslo, Norway",,
,,"furuholmeneiendom.no","Furuholmen Eiendomsutvikling As","www.furuholmeneiendom.no","furuholmeneiendom.no",,,,,"Real Estate","2","Oslo, Oslo, Norway",,
,,"partnerenergy.no","Partner Energy As","www.partnerenergy.no","partnerenergy.no",,,,,"Investment Management","4","Grimstad, Agder, Norway",,
,,"nettly.no","Nettly","www.nettly.no","nettly.no",,,,,"Technology, Information and Internet","4","Oslo, Oslo, Norway",,
,,"nordicepod.com","Nordicepod","nordicepod.com","nordicepod.com",,,,,"Appliances, Electrical, and Electronics Manufacturing","59","Holmestrand, Vestfold og Telemark, Norway",,
,,"Hellvik Gruppen / Hellvik Akselerator","Hellvik Gruppen / Hellvik Akselerator","","",,,,,"","0","",,
,,"stormfilms.no","Storm Films","www.stormfilms.no","stormfilms.no",,,,,"Movies, Videos, and Sound","36","",,
